year,month_num,final_region,total_sales,total_items,prev_year_sales,sales_growth
2021,9,Quintana Roo,82060.45999999999,71,,
2021,9,San Luis Potosí,156131.0,100,,
2021,9,Sinaloa,251647.09999999998,177,,
2021,9,Sonora,189748.29,122,,
2021,9,Tabasco,49761.03999999999,39,,
2021,9,Tamaulipas,195430.55000000002,130,,
2021,9,Tlaxcala,23188.14,15,,
2021,9,Veracruz,201060.85,145,,
2021,9,Yucatán,75394.84,55,,
2021,9,Zacatecas,42762.06,27,,
2021,10,Aguascalientes,71581.58,42,,
2021,10,Baja California,266955.33,173,,
2021,10,Baja California Sur,97775.3,61,,
2021,10,Campeche,63065.31,38,,
2021,10,Chiapas,101371.04000000001,66,,
2021,10,Chihuahua,247080.71,156,,
2021,10,Ciudad de México,1502521.03,970,,
2021,10,Coahuila,203156.27,120,,
2021,10,Coahuila de Zaragoza,1999.0,1,,
2021,10,Colima,40895.5,29,,
2021,10,Durango,54921.119999999995,32,,
2021,10,Guanajuato,197545.71,119,,
2021,10,Guerrero,64804.05,44,,
2021,10,Hidalgo,78673.21,53,,
2021,10,Jalisco,818276.9400000001,509,,
2021,10,Michoacán,200001.53000000003,130,,
2021,10,Morelos,73378.48000000001,45,,
2021,10,México,862265.84,568,,
2021,10,Nayarit,83364.21,51,,
2021,10,Nuevo León,731832.08,489,,
2021,10,Oaxaca,71570.8,45,,
2021,10,Puebla,202458.27,128,,
2021,10,Querétaro,208689.56,132,,
2021,10,Quintana Roo,76828.82,53,,
2021,10,San Luis Potosí,130142.0,80,,
2021,10,Sinaloa,428919.27999999997,261,,
2021,10,Sonora,194170.35,109,,
2021,10,Tabasco,63978.69,42,,
2021,10,Tamaulipas,262546.5,151,,
2021,10,Tlaxcala,27830.420000000002,21,,
2021,10,Veracruz,343719.18,232,,
2021,10,Yucatán,78213.0,48,,
2021,10,Zacatecas,43407.48,27,,
2021,11,Aguascalientes,139244.68,90,,
2021,11,Baja California,488762.44000000006,342,,
2021,11,Baja California Sur,154207.44,117,,
2021,11,Campeche,127560.55,97,,
2021,11,Chiapas,205032.33,156,,
2021,11,Chihuahua,488735.57,327,,
2021,11,Ciudad de México,3044345.86,2149,,
2021,11,Coahuila,418251.4600000001,289,,
2021,11,Colima,121921.48000000001,91,,
2021,11,Coyoacan,1249.0,1,,
2021,11,Durango,164364.79,110,,
2021,11,Guanajuato,519598.0,345,,
2021,11,Guerrero,161785.15999999997,118,,
2021,11,Hidalgo,273103.29000000004,186,,
2021,11,Jalisco,1905726.59,1359,,
2021,11,Michoacán,557425.49,363,,
2021,11,Morelos,209208.74,151,,
2021,11,México,2175115.79,1501,,
2021,11,Nayarit,138574.66,93,,
2021,11,Nuevo León,1811465.15,1267,,
2021,11,Oaxaca,185527.27000000002,133,,
2021,11,Puebla,540644.3300000001,379,,
2021,11,Querétaro,476175.79,324,,
2021,11,Quintana Roo,256832.34,200,,
2021,11,San Luis Potosí,302603.9,207,,
2021,11,Sinaloa,903310.3500000001,648,,
2021,11,Sonora,403563.43000000005,271,,
2021,11,Tabasco,225998.96000000005,171,,
2021,11,Tamaulipas,462581.14,325,,
2021,11,Tlaxcala,65648.34999999999,45,,
2021,11,Veracruz,891429.52,643,,
2021,11,Yucatán,325625.91,229,,
2021,11,Zacatecas,88932.16,53,,
2021,12,Aguascalientes,92233.17,67,,
2021,12,Baja California,308284.23,222,,
2021,12,Baja California Sur,73348.64,49,,
2021,12,Campeche,77185.36,62,,
2021,12,Chiapas,155591.55000000002,125,,
2021,12,Chihuahua,280634.29000000004,199,,
2021,12,Ciudad de México,1867091.53,1409,,
2021,12,Coahuila,267677.83,182,,
2021,12,Colima,78607.07,51,,
2021,12,Durango,105704.49,73,,
2021,12,Guanajuato,463127.04,331,,
2021,12,Guerrero,103275.03,89,,
2021,12,Hidalgo,142336.11,101,,
2021,12,Jalisco,1176441.8599999999,865,,
2021,12,Michoacán,282924.95,210,,
2021,12,Morelos,128643.42,100,,
2021,12,México,1183577.22,873,,
2021,12,Nayarit,99933.82,72,,
2021,12,Nuevo León,1138069.56,850,,
2021,12,Oaxaca,137622.9,109,,
2021,12,Puebla,337672.45,253,,
2021,12,Querétaro,272784.85,205,,
2021,12,Quintana Roo,178006.47999999998,153,,
2021,12,San Luis Potosí,205937.87,148,,
2021,12,Sinaloa,436875.28,334,,
2021,12,Sonora,220642.01,163,,
2021,12,Tabasco,132214.2,104,,
2021,12,Tamaulipas,322381.56,245,,
2021,12,Tlaxcala,36243.08,26,,
2021,12,Veracruz,522784.09,400,,
2021,12,Yucatán,157024.47,124,,
2021,12,Zacatecas,63451.83,43,,
2022,1,Aguascalientes,54621.939999999995,41,42083.420000000006,29.79444161144695
2022,1,Baja California,142000.13,104,81657.57,73.89708020946496
2022,1,Baja California Sur,52043.0,38,53967.18,-3.56546330566096
2022,1,Campeche,38729.19,30,18737.55,106.6929241016035
2022,1,Chiapas,143201.29,101,61203.89,133.974164060487
2022,1,Chihuahua,208657.51,142,124296.72,67.87048765244973
2022,1,Ciudad de México,1791796.99,1370,1418658.24,26.302229774522722
2022,1,Coahuila,177111.2,139,113258.0,56.37853396669552
2022,1,Colima,48450.87,29,18992.42,155.10635295554758
2022,1,Durango,89277.43000000001,66,45242.97,97.32884468017905
2022,1,Guanajuato,249712.3,185,90873.7,174.79050594396398
2022,1,Guerrero,78829.22,64,45618.1,72.80250602282867
2022,1,Hidalgo,142368.9,102,75882.19,87.61833310293231
2022,1,Jalisco,897938.89,678,439590.54000000004,104.2671095697373
2022,1,Michoacán,302806.82,207,112830.8,168.37248339992271
2022,1,Morelos,80822.94,58,52222.43,54.76671614093791
2022,1,México,1003296.09,748,751676.5,33.47445210805446
2022,1,Nayarit,69998.14,54,37761.32,85.36994999115497
2022,1,Nuevo León,825752.37,625,345429.09,139.05119571718757
2022,1,Oaxaca,76070.36,53,59249.299999999996,28.3903100964906
2022,1,Puebla,266017.66,210,151880.19999999998,75.1496640115038
2022,1,Querétaro,246872.55999999997,194,135454.05,82.25557670663962
2022,1,Quintana Roo,112438.69,87,56699.95,98.30474277314178
2022,1,San Luis Potosí,171649.4,126,110196.83,55.76618674058046
2022,1,Sinaloa,326465.19999999995,255,163295.15,99.92339025378277
2022,1,Sonora,120076.92999999998,86,52023.380000000005,130.81339582318557
2022,1,Tabasco,93179.28,68,58274.94,59.895969004858685
2022,1,Tamaulipas,317864.89,234,100463.56,216.39819452943937
2022,1,Tlaxcala,23436.27,15,15206.060000000001,54.12453982162374
2022,1,Veracruz,341299.55,271,185701.92,83.78891828366662
2022,1,Yucatán,161223.89,136,103954.51000000001,55.09080846997403
2022,1,Zacatecas,66456.41,49,24805.18,167.913435822679
2022,2,Aguascalientes,86176.06,65,48703.270000000004,76.94101443291177
2022,2,Baja California,227615.68,175,96916.08,134.85852915223148
2022,2,Baja California Sur,82478.98000000001,75,46329.39,78.02733858572283
2022,2,Campeche,63094.490000000005,50,20548.190000000002,207.05619327055084
2022,2,Chiapas,155464.47,120,52864.3,194.08214995753278
2022,2,Chihuahua,232210.36,182,110419.0,110.29927820393229
2022,2,Ciudad de México,1745515.15,1414,889656.5800000001,96.20100488662713
2022,2,Coahuila,217621.33,161,82096.71,165.07923399122814
2022,2,Colima,42862.59,38,24105.84,77.80998297507989
2022,2,Durango,99474.87,70,37316.29,166.57223963046698
2022,2,Guanajuato,320126.99,250,97382.97,228.72995144838976
2022,2,Guerrero,82807.74,74,23661.22,249.97240209930004
2022,2,Hidalgo,146597.59,107,59819.57,145.06627179031878
2022,2,Jalisco,938242.59,761,397606.54,135.97262509816866
2022,2,Michoacán,313089.43,230,95417.88999999998,228.12445339128757
2022,2,Morelos,90071.6,81,44196.81,103.79660885027677
2022,2,México,1113491.64,878,488911.1,127.74930657127645
2022,2,Nayarit,95101.27,76,26960.48,252.7432375091245
2022,2,Nuevo León,964314.19,794,355918.84,170.936539914549
2022,2,Oaxaca,112044.63,80,56935.409999999996,96.79252331721158
2022,2,Puebla,277784.56,229,97802.43999999999,184.02620629914756
2022,2,Querétaro,268879.2,218,135641.78,98.2274193098911
2022,2,Quintana Roo,183927.97,145,33308.71,452.19181409307055
2022,2,San Luis Potosí,154523.3,132,66891.29,131.00660788572026
2022,2,Sinaloa,411641.86,319,174419.02,136.00743772095498
2022,2,Sonora,167445.39,129,88059.6,90.15006881702847
2022,2,Tabasco,114720.87,102,46317.4,147.6841748457383
2022,2,Tamaulipas,359295.56,270,89210.88,302.74858851297057
2022,2,Tlaxcala,17482.79,16,11546.03,51.4181930932104
2022,2,Veracruz,532934.57,450,163222.74000000002,226.50755035726021
2022,2,Yucatán,169934.27,151,55914.31,203.91910407192722
2022,2,Zacatecas,53828.03,41,12379.92,334.8011134159187
2022,3,Aguascalientes,91135.55,63,50938.0,78.91466096038322
2022,3,Baja California,167985.16999999998,127,104348.76,60.98434710676005
2022,3,Baja California Sur,100808.63,74,67111.37,50.21095531204327
2022,3,Campeche,43686.97,33,15649.14,179.1653087645711
2022,3,Chiapas,117393.03,89,65632.47,78.86425727997133
2022,3,Chihuahua,164328.55,130,188989.28,-13.048745410321692
2022,3,Ciudad de México,1611741.83,1250,1038693.3,55.170138288174186
2022,3,Coahuila,186817.07,141,129997.22,43.7085116127868
2022,3,Colima,74459.24,54,29391.17,153.33880890076853
2022,3,Durango,58108.55,37,47473.14,22.403005151965942
2022,3,Guanajuato,228917.74,174,155463.12,47.24890379145871
2022,3,Guerrero,72031.34,55,26880.329999999998,167.97044530331286
2022,3,Hidalgo,141810.02,98,68883.92,105.86810390581721
2022,3,Jalisco,1074850.34,846,483813.62,122.16206728533191
2022,3,Michoacán,273727.82,218,116734.11,134.48829138287002
2022,3,Morelos,103155.11,77,52581.479999999996,96.18145019881527
2022,3,México,938211.9500000001,687,523645.18,79.16940436652163
2022,3,Nayarit,101380.18999999999,88,39455.37999999999,156.94896361408763
2022,3,Nuevo León,925644.9,719,533671.53,73.44843184720759
2022,3,Oaxaca,134669.93,100,44093.55,205.41866100597477
2022,3,Puebla,280760.75999999995,214,113460.88,147.45159741401613
2022,3,Querétaro,245063.04,191,175006.57,40.0307657021105
2022,3,Quintana Roo,150742.74,121,48887.08,208.34883163404317
2022,3,San Luis Potosí,158967.50999999998,110,98912.39,60.71546749603359
2022,3,Sinaloa,458567.02999999997,364,200932.67,128.2192487662658
2022,3,Sonora,176813.92,128,114471.31,54.46134057520615
2022,3,Tabasco,102802.82,79,39825.2,158.13510038869865
2022,3,Tamaulipas,250401.68000000002,184,136843.47,82.98401816323425
2022,3,Tlaxcala,34283.55,24,4868.97,604.1232539941713
2022,3,Veracruz,381241.79,303,178654.88999999998,113.3956646806589
2022,3,Yucatán,144170.64,128,73725.43000000001,95.55076179277626
2022,3,Zacatecas,53917.74,36,24660.239999999998,118.64239764089888
2022,4,Aguascalientes,89879.94,67,49444.92,81.77790559677315
2022,4,Baja California,242364.81,186,119329.02000000002,103.10634412316463
2022,4,Baja California Sur,142497.57,114,31831.559999999998,347.661283330129
